date,bands
11/9/2015,"11, 9, 2015"
11/11/2015,"11, 11, 2015"
11/13/2015,"11, 13, 2015"
11/14/2015,"11, 14, 2015"
11/15/2015,"11, 15, 2015"
11/18/2015,"11, 18, 2015"
11/19/2015,"11, 19, 2015"
11/20/2015,"11, 20, 2015"
11/21/2015,"11, 21, 2015"
11/22/2015,"11, 22, 2015"
11/23/2015,"11, 23, 2015"
11/25/2015,"11, 25, 2015"
11/27/2015,"11, 27, 2015"
11/28/2015,"11, 28, 2015"
12/3/2015,"12, 3, 2015"
12/4/2015,"12, 4, 2015"
12/5/2015,"12, 5, 2015"
12/7/2015,"12, 7, 2015"
12/8/2015,"12, 8, 2015"
12/9/2015,"12, 9, 2015"
12/11/2015,"12, 11, 2015"
12/12/2015,"12, 12, 2015"
12/12/2015,"12, 12, 2015"
12/13/2015,"12, 13, 2015"
12/14/2015,"12, 14, 2015"
12/19/2015,"12, 19, 2015"
12/20/2015,"12, 20, 2015"
12/21/2015,"12, 21, 2015"
12/26/2015,"12, 26, 2015"
12/27/2015,"12, 27, 2015"
12/29/2015,"12, 29, 2015"
1/2/2016,"1, 2, 2016"
1/5/2016,"1, 5, 2016"
1/7/2016,"1, 7, 2016"
1/8/2016,"1, 8, 2016"
1/10/2016,"1, 10, 2016"
1/11/2016,"1, 11, 2016"
1/15/2016,"1, 15, 2016"
1/16/2016,"1, 16, 2016"
1/17/2016,"1, 17, 2016"
1/18/2016,"1, 18, 2016"
1/19/2016,"1, 19, 2016"
1/20/2016,"1, 20, 2016"
1/23/2016,"1, 23, 2016"
1/25/2016,"1, 25, 2016"
1/26/2016,"1, 26, 2016"
1/29/2016,"1, 29, 2016"
2/4/2016,"2, 4, 2016"
2/5/2016,"2, 5, 2016"
2/6/2016,"2, 6, 2016"
2/7/2016,"2, 7, 2016"
2/9/2016,"2, 9, 2016"
2/10/2016,"2, 10, 2016"
2/12/2016,"2, 12, 2016"
2/13/2016,"2, 13, 2016"
2/16/2016,"2, 16, 2016"
2/17/2016,"2, 17, 2016"
2/18/2016,"2, 18, 2016"
2/19/2016,"2, 19, 2016"
2/20/2016,"2, 20, 2016"
2/21/2016,"2, 21, 2016"
2/22/2016,"2, 22, 2016"
2/25/2016,"2, 25, 2016"
2/26/2016,"2, 26, 2016"
2/27/2016,"2, 27, 2016"
2/28/2016,"2, 28, 2016"
3/1/2016,"3, 1, 2016"
3/2/2016,"3, 2, 2016"
3/4/2016,"3, 4, 2016"
3/5/2016,"3, 5, 2016"
3/6/2016,"3, 6, 2016"
3/8/2016,"3, 8, 2016"
3/10/2016,"3, 10, 2016"
3/11/2016,"3, 11, 2016"
3/12/2016,"3, 12, 2016"
3/13/2016,"3, 13, 2016"
3/14/2016,"3, 14, 2016"
3/18/2016,"3, 18, 2016"
3/19/2016,"3, 19, 2016"
3/21/2016,"3, 21, 2016"
3/22/2016,"3, 22, 2016"
3/24/2016,"3, 24, 2016"
3/26/2016,"3, 26, 2016"
3/27/2016,"3, 27, 2016"
3/28/2016,"3, 28, 2016"
3/31/2016,"3, 31, 2016"
4/1/2016,"4, 1, 2016"
4/2/2016,"4, 2, 2016"
4/3/2016,"4, 3, 2016"
4/4/2016,"4, 4, 2016"
4/5/2016,"4, 5, 2016"
4/8/2016,"4, 8, 2016"
4/9/2016,"4, 9, 2016"
4/10/2016,"4, 10, 2016"
4/11/2016,"4, 11, 2016"
4/13/2016,"4, 13, 2016"
4/14/2016,"4, 14, 2016"
4/15/2016,"4, 15, 2016"
4/16/2016,"4, 16, 2016"
4/17/2016,"4, 17, 2016"
4/18/2016,"4, 18, 2016"
4/20/2016,"4, 20, 2016"
4/22/2016,"4, 22, 2016"
4/23/2016,"4, 23, 2016"
4/24/2016,"4, 24, 2016"
4/27/2016,"4, 27, 2016"
4/28/2016,"4, 28, 2016"
4/29/2016,"4, 29, 2016"
4/30/2016,"4, 30, 2016"
5/1/2016,"5, 1, 2016"
5/4/2016,"5, 4, 2016"
5/5/2016,"5, 5, 2016"
5/6/2016,"5, 6, 2016"
5/7/2016,"5, 7, 2016"
5/8/2016,"5, 8, 2016"
5/11/2016,"5, 11, 2016"
5/12/2016,"5, 12, 2016"
5/13/2016,"5, 13, 2016"
5/14/2016,"5, 14, 2016"
5/15/2016,"5, 15, 2016"
5/16/2016,"5, 16, 2016"
5/18/2016,"5, 18, 2016"
5/19/2016,"5, 19, 2016"
5/21/2016,"5, 21, 2016"
5/23/2016,"5, 23, 2016"
5/25/2016,"5, 25, 2016"
5/26/2016,"5, 26, 2016"
5/27/2016,"5, 27, 2016"
5/28/2016,"5, 28, 2016"
5/29/2016,"5, 29, 2016"
5/30/2016,"5, 30, 2016"
5/31/2016,"5, 31, 2016"
6/1/2016,"6, 1, 2016"
6/4/2016,"6, 4, 2016"
6/5/2016,"6, 5, 2016"
6/9/2016,"6, 9, 2016"
6/10/2016,"6, 10, 2016"
6/11/2016,"6, 11, 2016"
6/12/2016,"6, 12, 2016"
6/13/2016,"6, 13, 2016"
6/14/2016,"6, 14, 2016"
6/17/2016,"6, 17, 2016"
6/18/2016,"6, 18, 2016"
6/22/2016,"6, 22, 2016"
6/23/2016,"6, 23, 2016"
6/24/2016,"6, 24, 2016"
6/26/2016,"6, 26, 2016"
6/27/2016,"6, 27, 2016"
6/28/2016,"6, 28, 2016"
6/29/2016,"6, 29, 2016"
7/2/2016,"7, 2, 2016"
7/4/2016,"7, 4, 2016"
7/5/2016,"7, 5, 2016"
7/6/2016,"7, 6, 2016"
7/7/2016,"7, 7, 2016"
7/8/2016,"7, 8, 2016"
7/10/2016,"7, 10, 2016"
7/13/2016,"7, 13, 2016"
7/15/2016,"7, 15, 2016"
7/17/2016,"7, 17, 2016"
7/18/2016,"7, 18, 2016"
7/21/2016,"7, 21, 2016"
7/22/2016,"7, 22, 2016"
7/23/2016,"7, 23, 2016"
7/24/2016,"7, 24, 2016"
7/27/2016,"7, 27, 2016"
7/28/2016,"7, 28, 2016"
7/29/2016,"7, 29, 2016"
7/30/2016,"7, 30, 2016"
7/31/2016,"7, 31, 2016"
8/1/2016,"8, 1, 2016"
8/2/2016,"8, 2, 2016"
8/5/2016,"8, 5, 2016"
8/6/2016,"8, 6, 2016"
8/7/2016,"8, 7, 2016"
8/11/2016,"8, 11, 2016"
8/12/2016,"8, 12, 2016"
8/13/2016,"8, 13, 2016"
8/15/2016,"8, 15, 2016"
8/16/2016,"8, 16, 2016"
8/17/2016,"8, 17, 2016"
8/18/2016,"8, 18, 2016"
8/19/2016,"8, 19, 2016"
8/20/2016,"8, 20, 2016"
8/21/2016,"8, 21, 2016"
8/22/2016,"8, 22, 2016"
8/24/2016,"8, 24, 2016"
8/26/2016,"8, 26, 2016"
8/27/2016,"8, 27, 2016"
8/28/2016,"8, 28, 2016"
8/29/2016,"8, 29, 2016"
9/5/2016,"9, 5, 2016"
9/6/2016,"9, 6, 2016"
9/8/2016,"9, 8, 2016"
9/9/2016,"9, 9, 2016"
9/10/2016,"9, 10, 2016"
9/11/2016,"9, 11, 2016"
9/12/2016,"9, 12, 2016"
9/16/2016,"9, 16, 2016"
9/17/2016,"9, 17, 2016"
9/18/2016,"9, 18, 2016"
9/19/2016,"9, 19, 2016"
9/21/2016,"9, 21, 2016"
9/23/2016,"9, 23, 2016"
9/24/2016,"9, 24, 2016"
9/27/2016,"9, 27, 2016"
9/28/2016,"9, 28, 2016"
9/29/2016,"9, 29, 2016"
9/30/2016,"9, 30, 2016"
10/1/2016,"10, 1, 2016"
10/2/2016,"10, 2, 2016"
10/4/2016,"10, 4, 2016"
10/6/2016,"10, 6, 2016"
10/7/2016,"10, 7, 2016"
10/8/2016,"10, 8, 2016"
10/9/2016,"10, 9, 2016"
10/12/2016,"10, 12, 2016"
10/13/2016,"10, 13, 2016"
10/14/2016,"10, 14, 2016"
10/15/2016,"10, 15, 2016"
10/18/2016,"10, 18, 2016"
10/20/2016,"10, 20, 2016"
10/22/2016,"10, 22, 2016"
10/23/2016,"10, 23, 2016"
10/24/2016,"10, 24, 2016"
10/26/2016,"10, 26, 2016"
10/28/2016,"10, 28, 2016"
10/29/2016,"10, 29, 2016"
10/30/2016,"10, 30, 2016"
11/3/2016,"11, 3, 2016"
11/4/2016,"11, 4, 2016"
11/5/2016,"11, 5, 2016"
11/6/2016,"11, 6, 2016"
11/7/2016,"11, 7, 2016"
11/9/2016,"11, 9, 2016"
11/10/2016,"11, 10, 2016"
11/11/2016,"11, 11, 2016"
11/12/2016,"11, 12, 2016"
11/13/2016,"11, 13, 2016"
11/15/2016,"11, 15, 2016"
11/16/2016,"11, 16, 2016"
11/17/2016,"11, 17, 2016"
11/18/2016,"11, 18, 2016"
11/19/2016,"11, 19, 2016"
11/20/2016,"11, 20, 2016"
11/23/2016,"11, 23, 2016"
11/25/2016,"11, 25, 2016"
11/26/2016,"11, 26, 2016"
11/27/2016,"11, 27, 2016"
11/28/2016,"11, 28, 2016"
12/1/2016,"12, 1, 2016"
12/2/2016,"12, 2, 2016"
12/3/2016,"12, 3, 2016"
12/4/2016,"12, 4, 2016"
12/6/2016,"12, 6, 2016"
12/8/2016,"12, 8, 2016"
12/9/2016,"12, 9, 2016"
12/10/2016,"12, 10, 2016"
12/11/2016,"12, 11, 2016"
12/11/2016,"12, 11, 2016"
12/12/2016,"12, 12, 2016"
12/16/2016,"12, 16, 2016"
12/18/2016,"12, 18, 2016"
12/20/2016,"12, 20, 2016"
12/21/2016,"12, 21, 2016"
12/22/2016,"12, 22, 2016"
12/27/2016,"12, 27, 2016"
12/28/2016,"12, 28, 2016"
12/29/2016,"12, 29, 2016"
1/1/2017,"1, 1, 2017"
1/3/2017,"1, 3, 2017"
1/4/2017,"1, 4, 2017"
1/6/2017,"1, 6, 2017"
1/7/2017,"1, 7, 2017"
1/9/2017,"1, 9, 2017"
1/10/2017,"1, 10, 2017"
1/11/2017,"1, 11, 2017"
1/13/2017,"1, 13, 2017"
1/14/2017,"1, 14, 2017"
1/16/2017,"1, 16, 2017"
1/18/2017,"1, 18, 2017"
1/21/2017,"1, 21, 2017"
1/22/2017,"1, 22, 2017"
1/24/2017,"1, 24, 2017"
1/26/2017,"1, 26, 2017"
1/27/2017,"1, 27, 2017"
1/28/2017,"1, 28, 2017"
1/29/2017,"1, 29, 2017"
2/1/2017,"2, 1, 2017"
2/2/2017,"2, 2, 2017"
2/3/2017,"2, 3, 2017"
2/4/2017,"2, 4, 2017"
2/6/2017,"2, 6, 2017"
2/8/2017,"2, 8, 2017"
2/10/2017,"2, 10, 2017"
2/11/2017,"2, 11, 2017"
2/12/2017,"2, 12, 2017"
2/13/2017,"2, 13, 2017"
2/16/2017,"2, 16, 2017"
2/17/2017,"2, 17, 2017"
2/19/2017,"2, 19, 2017"
2/23/2017,"2, 23, 2017"
2/24/2017,"2, 24, 2017"
2/25/2017,"2, 25, 2017"
2/27/2017,"2, 27, 2017"
3/1/2017,"3, 1, 2017"
3/3/2017,"3, 3, 2017"
3/4/2017,"3, 4, 2017"
3/5/2017,"3, 5, 2017"
3/8/2017,"3, 8, 2017"
3/10/2017,"3, 10, 2017"
3/11/2017,"3, 11, 2017"
3/13/2017,"3, 13, 2017"
3/15/2017,"3, 15, 2017"
3/17/2017,"3, 17, 2017"
3/18/2017,"3, 18, 2017"
3/19/2017,"3, 19, 2017"
3/21/2017,"3, 21, 2017"
3/24/2017,"3, 24, 2017"
3/25/2017,"3, 25, 2017"
3/26/2017,"3, 26, 2017"
3/29/2017,"3, 29, 2017"
3/30/2017,"3, 30, 2017"
4/1/2017,"4, 1, 2017"
4/2/2017,"4, 2, 2017"
4/6/2017,"4, 6, 2017"
4/7/2017,"4, 7, 2017"
4/8/2017,"4, 8, 2017"
4/9/2017,"4, 9, 2017"
4/11/2017,"4, 11, 2017"
4/13/2017,"4, 13, 2017"
4/14/2017,"4, 14, 2017"
4/15/2017,"4, 15, 2017"
4/18/2017,"4, 18, 2017"
4/19/2017,"4, 19, 2017"
4/21/2017,"4, 21, 2017"
4/22/2017,"4, 22, 2017"
4/25/2017,"4, 25, 2017"
4/27/2017,"4, 27, 2017"
4/28/2017,"4, 28, 2017"
4/30/2017,"4, 30, 2017"
5/1/2017,"5, 1, 2017"
5/4/2017,"5, 4, 2017"
5/5/2017,"5, 5, 2017"
5/6/2017,"5, 6, 2017"
5/7/2017,"5, 7, 2017"
5/10/2017,"5, 10, 2017"
5/12/2017,"5, 12, 2017"
5/13/2017,"5, 13, 2017"
5/15/2017,"5, 15, 2017"
5/18/2017,"5, 18, 2017"
5/19/2017,"5, 19, 2017"
5/20/2017,"5, 20, 2017"
5/21/2017,"5, 21, 2017"
5/25/2017,"5, 25, 2017"
5/26/2017,"5, 26, 2017"
5/27/2017,"5, 27, 2017"
5/28/2017,"5, 28, 2017"
5/29/2017,"5, 29, 2017"
5/31/2017,"5, 31, 2017"
6/2/2017,"6, 2, 2017"
6/3/2017,"6, 3, 2017"
6/4/2017,"6, 4, 2017"
6/8/2017,"6, 8, 2017"
6/9/2017,"6, 9, 2017"
6/10/2017,"6, 10, 2017"
6/13/2017,"6, 13, 2017"
6/15/2017,"6, 15, 2017"
6/17/2017,"6, 17, 2017"
6/18/2017,"6, 18, 2017"
6/20/2017,"6, 20, 2017"
6/22/2017,"6, 22, 2017"
6/23/2017,"6, 23, 2017"
6/24/2017,"6, 24, 2017"
6/27/2017,"6, 27, 2017"
6/28/2017,"6, 28, 2017"
6/30/2017,"6, 30, 2017"
7/1/2017,"7, 1, 2017"
7/3/2017,"7, 3, 2017"
7/5/2017,"7, 5, 2017"
7/6/2017,"7, 6, 2017"
7/7/2017,"7, 7, 2017"
7/8/2017,"7, 8, 2017"
7/11/2017,"7, 11, 2017"
7/12/2017,"7, 12, 2017"
7/14/2017,"7, 14, 2017"
7/18/2017,"7, 18, 2017"
7/19/2017,"7, 19, 2017"
7/20/2017,"7, 20, 2017"
7/22/2017,"7, 22, 2017"
7/23/2017,"7, 23, 2017"
7/25/2017,"7, 25, 2017"
7/26/2017,"7, 26, 2017"
7/28/2017,"7, 28, 2017"
7/30/2017,"7, 30, 2017"
8/1/2017,"8, 1, 2017"
8/3/2017,"8, 3, 2017"
8/4/2017,"8, 4, 2017"
8/5/2017,"8, 5, 2017"
8/8/2017,"8, 8, 2017"
8/9/2017,"8, 9, 2017"
8/10/2017,"8, 10, 2017"
8/11/2017,"8, 11, 2017"
8/12/2017,"8, 12, 2017"
8/13/2017,"8, 13, 2017"
8/16/2017,"8, 16, 2017"
8/17/2017,"8, 17, 2017"
8/18/2017,"8, 18, 2017"
8/19/2017,"8, 19, 2017"
8/22/2017,"8, 22, 2017"
8/23/2017,"8, 23, 2017"
8/25/2017,"8, 25, 2017"
8/26/2017,"8, 26, 2017"
8/27/2017,"8, 27, 2017"
8/28/2017,"8, 28, 2017"
8/29/2017,"8, 29, 2017"
9/1/2017,"9, 1, 2017"
9/2/2017,"9, 2, 2017"
9/3/2017,"9, 3, 2017"
9/4/2017,"9, 4, 2017"
9/12/2017,"9, 12, 2017"
9/13/2017,"9, 13, 2017"
9/14/2017,"9, 14, 2017"
9/15/2017,"9, 15, 2017"
9/16/2017,"9, 16, 2017"
9/17/2017,"9, 17, 2017"
9/20/2017,"9, 20, 2017"
9/21/2017,"9, 21, 2017"
9/22/2017,"9, 22, 2017"
9/23/2017,"9, 23, 2017"
9/24/2017,"9, 24, 2017"
9/25/2017,"9, 25, 2017"
9/27/2017,"9, 27, 2017"
9/28/2017,"9, 28, 2017"
9/29/2017,"9, 29, 2017"
9/30/2017,"9, 30, 2017"
10/1/2017,"10, 1, 2017"
10/2/2017,"10, 2, 2017"
10/5/2017,"10, 5, 2017"
10/6/2017,"10, 6, 2017"
10/7/2017,"10, 7, 2017"
10/9/2017,"10, 9, 2017"
10/11/2017,"10, 11, 2017"
10/13/2017,"10, 13, 2017"
10/14/2017,"10, 14, 2017"
10/15/2017,"10, 15, 2017"
10/17/2017,"10, 17, 2017"
10/19/2017,"10, 19, 2017"
10/20/2017,"10, 20, 2017"
10/21/2017,"10, 21, 2017"
10/22/2017,"10, 22, 2017"
10/23/2017,"10, 23, 2017"
10/25/2017,"10, 25, 2017"
10/26/2017,"10, 26, 2017"
10/27/2017,"10, 27, 2017"
10/28/2017,"10, 28, 2017"
10/29/2017,"10, 29, 2017"
10/30/2017,"10, 30, 2017"
11/1/2017,"11, 1, 2017"
11/2/2017,"11, 2, 2017"
11/3/2017,"11, 3, 2017"
11/5/2017,"11, 5, 2017"
11/7/2017,"11, 7, 2017"
11/8/2017,"11, 8, 2017"
11/10/2017,"11, 10, 2017"
11/11/2017,"11, 11, 2017"
11/12/2017,"11, 12, 2017"
11/15/2017,"11, 15, 2017"
11/16/2017,"11, 16, 2017"
11/17/2017,"11, 17, 2017"
11/18/2017,"11, 18, 2017"
11/19/2017,"11, 19, 2017"
11/21/2017,"11, 21, 2017"
11/22/2017,"11, 22, 2017"
11/24/2017,"11, 24, 2017"
11/25/2017,"11, 25, 2017"
11/27/2017,"11, 27, 2017"
11/28/2017,"11, 28, 2017"
11/29/2017,"11, 29, 2017"
12/2/2017,"12, 2, 2017"
12/3/2017,"12, 3, 2017"
12/4/2017,"12, 4, 2017"
12/5/2017,"12, 5, 2017"
12/7/2017,"12, 7, 2017"
12/8/2017,"12, 8, 2017"
12/9/2017,"12, 9, 2017"
12/10/2017,"12, 10, 2017"
12/11/2017,"12, 11, 2017"
12/15/2017,"12, 15, 2017"
12/16/2017,"12, 16, 2017"
12/17/2017,"12, 17, 2017"
12/20/2017,"12, 20, 2017"
12/21/2017,"12, 21, 2017"
12/22/2017,"12, 22, 2017"
12/23/2017,"12, 23, 2017"
12/27/2017,"12, 27, 2017"
12/29/2017,"12, 29, 2017"
12/30/2017,"12, 30, 2017"
1/1/2018,"1, 1, 2018"
1/4/2018,"1, 4, 2018"
1/5/2018,"1, 5, 2018"
1/6/2018,"1, 6, 2018"
1/7/2018,"1, 7, 2018"
1/8/2018,"1, 8, 2018"
1/11/2018,"1, 11, 2018"
1/12/2018,"1, 12, 2018"
1/14/2018,"1, 14, 2018"
1/16/2018,"1, 16, 2018"
1/18/2018,"1, 18, 2018"
1/19/2018,"1, 19, 2018"
1/20/2018,"1, 20, 2018"
1/21/2018,"1, 21, 2018"
1/23/2018,"1, 23, 2018"
1/23/2018,"1, 23, 2018"
1/25/2018,"1, 25, 2018"
1/26/2018,"1, 26, 2018"
1/27/2018,"1, 27, 2018"
1/28/2018,"1, 28, 2018"
1/30/2018,"1, 30, 2018"
1/31/2018,"1, 31, 2018"
2/2/2018,"2, 2, 2018"
2/3/2018,"2, 3, 2018"
2/4/2018,"2, 4, 2018"
2/6/2018,"2, 6, 2018"
2/7/2018,"2, 7, 2018"
2/9/2018,"2, 9, 2018"
2/10/2018,"2, 10, 2018"
2/11/2018,"2, 11, 2018"
2/12/2018,"2, 12, 2018"
2/14/2018,"2, 14, 2018"
2/16/2018,"2, 16, 2018"
2/17/2018,"2, 17, 2018"
2/18/2018,"2, 18, 2018"
2/21/2018,"2, 21, 2018"
2/22/2018,"2, 22, 2018"
2/23/2018,"2, 23, 2018"
2/24/2018,"2, 24, 2018"
2/25/2018,"2, 25, 2018"
2/28/2018,"2, 28, 2018"
3/1/2018,"3, 1, 2018"
3/2/2018,"3, 2, 2018"
3/3/2018,"3, 3, 2018"
3/4/2018,"3, 4, 2018"
3/5/2018,"3, 5, 2018"
3/6/2018,"3, 6, 2018"
3/9/2018,"3, 9, 2018"
3/10/2018,"3, 10, 2018"
3/11/2018,"3, 11, 2018"
3/14/2018,"3, 14, 2018"
3/15/2018,"3, 15, 2018"
3/16/2018,"3, 16, 2018"
3/17/2018,"3, 17, 2018"
3/18/2018,"3, 18, 2018"
3/19/2018,"3, 19, 2018"
3/20/2018,"3, 20, 2018"
3/22/2018,"3, 22, 2018"
3/23/2018,"3, 23, 2018"
3/24/2018,"3, 24, 2018"
3/25/2018,"3, 25, 2018"
3/26/2018,"3, 26, 2018"
3/27/2018,"3, 27, 2018"
3/29/2018,"3, 29, 2018"
3/31/2018,"3, 31, 2018"
4/1/2018,"4, 1, 2018"
4/2/2018,"4, 2, 2018"
4/4/2018,"4, 4, 2018"
4/6/2018,"4, 6, 2018"
4/7/2018,"4, 7, 2018"
4/8/2018,"4, 8, 2018"
4/9/2018,"4, 9, 2018"
4/10/2018,"4, 10, 2018"
4/12/2018,"4, 12, 2018"
4/13/2018,"4, 13, 2018"
4/14/2018,"4, 14, 2018"
4/16/2018,"4, 16, 2018"
4/18/2018,"4, 18, 2018"
4/19/2018,"4, 19, 2018"
4/20/2018,"4, 20, 2018"
4/21/2018,"4, 21, 2018"
4/22/2018,"4, 22, 2018"
4/23/2018,"4, 23, 2018"
4/24/2018,"4, 24, 2018"
4/25/2018,"4, 25, 2018"
4/27/2018,"4, 27, 2018"
4/28/2018,"4, 28, 2018"
4/29/2018,"4, 29, 2018"
5/2/2018,"5, 2, 2018"
5/3/2018,"5, 3, 2018"
5/4/2018,"5, 4, 2018"
5/5/2018,"5, 5, 2018"
5/6/2018,"5, 6, 2018"
5/7/2018,"5, 7, 2018"
5/9/2018,"5, 9, 2018"
5/11/2018,"5, 11, 2018"
5/12/2018,"5, 12, 2018"
5/13/2018,"5, 13, 2018"
5/14/2018,"5, 14, 2018"
5/17/2018,"5, 17, 2018"
5/18/2018,"5, 18, 2018"
5/19/2018,"5, 19, 2018"
5/20/2018,"5, 20, 2018"
5/23/2018,"5, 23, 2018"
5/25/2018,"5, 25, 2018"
5/27/2018,"5, 27, 2018"
5/29/2018,"5, 29, 2018"
6/1/2018,"6, 1, 2018"
6/2/2018,"6, 2, 2018"
6/4/2018,"6, 4, 2018"
6/6/2018,"6, 6, 2018"
6/7/2018,"6, 7, 2018"
6/8/2018,"6, 8, 2018"
6/9/2018,"6, 9, 2018"
6/10/2018,"6, 10, 2018"
6/11/2018,"6, 11, 2018"
6/15/2018,"6, 15, 2018"
6/16/2018,"6, 16, 2018"
6/17/2018,"6, 17, 2018"
6/18/2018,"6, 18, 2018"
6/20/2018,"6, 20, 2018"
6/22/2018,"6, 22, 2018"
6/23/2018,"6, 23, 2018"
6/24/2018,"6, 24, 2018"
6/27/2018,"6, 27, 2018"
6/28/2018,"6, 28, 2018"
6/29/2018,"6, 29, 2018"
7/3/2018,"7, 3, 2018"
7/4/2018,"7, 4, 2018"
7/5/2018,"7, 5, 2018"
7/6/2018,"7, 6, 2018"
7/7/2018,"7, 7, 2018"
7/8/2018,"7, 8, 2018"
7/9/2018,"7, 9, 2018"
7/11/2018,"7, 11, 2018"
7/13/2018,"7, 13, 2018"
7/14/2018,"7, 14, 2018"
7/15/2018,"7, 15, 2018"
7/17/2018,"7, 17, 2018"
7/19/2018,"7, 19, 2018"
7/20/2018,"7, 20, 2018"
7/21/2018,"7, 21, 2018"
7/25/2018,"7, 25, 2018"
7/26/2018,"7, 26, 2018"
7/27/2018,"7, 27, 2018"
7/28/2018,"7, 28, 2018"
7/29/2018,"7, 29, 2018"
7/30/2018,"7, 30, 2018"
7/31/2018,"7, 31, 2018"
8/1/2018,"8, 1, 2018"
8/4/2018,"8, 4, 2018"
8/5/2018,"8, 5, 2018"
8/8/2018,"8, 8, 2018"
8/10/2018,"8, 10, 2018"
8/11/2018,"8, 11, 2018"
8/12/2018,"8, 12, 2018"
8/13/2018,"8, 13, 2018"
8/15/2018,"8, 15, 2018"
8/17/2018,"8, 17, 2018"
8/19/2018,"8, 19, 2018"
8/22/2018,"8, 22, 2018"
8/23/2018,"8, 23, 2018"
8/24/2018,"8, 24, 2018"
8/26/2018,"8, 26, 2018"
8/28/2018,"8, 28, 2018"
8/30/2018,"8, 30, 2018"
9/1/2018,"9, 1, 2018"
9/2/2018,"9, 2, 2018"
9/3/2018,"9, 3, 2018"
9/5/2018,"9, 5, 2018"
9/7/2018,"9, 7, 2018"
9/8/2018,"9, 8, 2018"
9/9/2018,"9, 9, 2018"
9/10/2018,"9, 10, 2018"
9/11/2018,"9, 11, 2018"
9/12/2018,"9, 12, 2018"
9/13/2018,"9, 13, 2018"
9/14/2018,"9, 14, 2018"
9/15/2018,"9, 15, 2018"
9/16/2018,"9, 16, 2018"
9/20/2018,"9, 20, 2018"
9/21/2018,"9, 21, 2018"
9/22/2018,"9, 22, 2018"
9/23/2018,"9, 23, 2018"
9/25/2018,"9, 25, 2018"
9/27/2018,"9, 27, 2018"
9/28/2018,"9, 28, 2018"
9/30/2018,"9, 30, 2018"
10/3/2018,"10, 3, 2018"
10/5/2018,"10, 5, 2018"
10/6/2018,"10, 6, 2018"
10/7/2018,"10, 7, 2018"
10/9/2018,"10, 9, 2018"
10/10/2018,"10, 10, 2018"
10/12/2018,"10, 12, 2018"
10/13/2018,"10, 13, 2018"
10/14/2018,"10, 14, 2018"
10/16/2018,"10, 16, 2018"
10/17/2018,"10, 17, 2018"
10/18/2018,"10, 18, 2018"
10/19/2018,"10, 19, 2018"
10/20/2018,"10, 20, 2018"
10/24/2018,"10, 24, 2018"
10/25/2018,"10, 25, 2018"
10/26/2018,"10, 26, 2018"
10/27/2018,"10, 27, 2018"
10/30/2018,"10, 30, 2018"
11/3/2018,"11, 3, 2018"
11/4/2018,"11, 4, 2018"
11/6/2018,"11, 6, 2018"
11/7/2018,"11, 7, 2018"
11/8/2018,"11, 8, 2018"
11/9/2018,"11, 9, 2018"
11/10/2018,"11, 10, 2018"
11/13/2018,"11, 13, 2018"
11/14/2018,"11, 14, 2018"
11/16/2018,"11, 16, 2018"
11/18/2018,"11, 18, 2018"
11/19/2018,"11, 19, 2018"
11/23/2018,"11, 23, 2018"
11/24/2018,"11, 24, 2018"
11/25/2018,"11, 25, 2018"
11/27/2018,"11, 27, 2018"
11/28/2018,"11, 28, 2018"
11/29/2018,"11, 29, 2018"
11/30/2018,"11, 30, 2018"
12/3/2018,"12, 3, 2018"
12/6/2018,"12, 6, 2018"
12/7/2018,"12, 7, 2018"
12/8/2018,"12, 8, 2018"
12/10/2018,"12, 10, 2018"
12/11/2018,"12, 11, 2018"
12/12/2018,"12, 12, 2018"
12/13/2018,"12, 13, 2018"
12/15/2018,"12, 15, 2018"
12/21/2018,"12, 21, 2018"
12/22/2018,"12, 22, 2018"
12/26/2018,"12, 26, 2018"
12/27/2018,"12, 27, 2018"
12/28/2018,"12, 28, 2018"
1/3/2019,"1, 3, 2019"
1/4/2019,"1, 4, 2019"
1/9/2019,"1, 9, 2019"
1/10/2019,"1, 10, 2019"
1/11/2019,"1, 11, 2019"
1/12/2019,"1, 12, 2019"
1/13/2019,"1, 13, 2019"
1/14/2019,"1, 14, 2019"
1/15/2019,"1, 15, 2019"
1/16/2019,"1, 16, 2019"
1/18/2019,"1, 18, 2019"
1/20/2019,"1, 20, 2019"
1/23/2019,"1, 23, 2019"
1/24/2019,"1, 24, 2019"
1/25/2019,"1, 25, 2019"
1/26/2019,"1, 26, 2019"
1/27/2019,"1, 27, 2019"
1/30/2019,"1, 30, 2019"
1/31/2019,"1, 31, 2019"
2/1/2019,"2, 1, 2019"
2/3/2019,"2, 3, 2019"
2/6/2019,"2, 6, 2019"
2/7/2019,"2, 7, 2019"
2/8/2019,"2, 8, 2019"
2/9/2019,"2, 9, 2019"
2/11/2019,"2, 11, 2019"
2/12/2019,"2, 12, 2019"
2/14/2019,"2, 14, 2019"
2/15/2019,"2, 15, 2019"
2/16/2019,"2, 16, 2019"
2/18/2019,"2, 18, 2019"
2/20/2019,"2, 20, 2019"
2/21/2019,"2, 21, 2019"
2/22/2019,"2, 22, 2019"
2/23/2019,"2, 23, 2019"
2/27/2019,"2, 27, 2019"
2/28/2019,"2, 28, 2019"
3/1/2019,"3, 1, 2019"
3/2/2019,"3, 2, 2019"
